,full_formula,band_gap,spacegroup.number,structure.lattice.a,structure.lattice.b,structure.lattice.c,structure.lattice.alpha,structure.lattice.beta,structure.lattice.gamma
0,Cl4Pd2,1.6249,58,3.408012,4.187088,11.47548,90.0,90.0,90.0
1,Ce1O2,2.4252000000000002,225,3.8825700000000003,3.8825700000000003,3.8825700000000003,60.0,60.0,60.0
2,Ag2I2,1.9774,129,4.722015,4.722015,6.062912,90.0,90.0,90.0
3,Ba20Sb16,0.2722,62,9.152504,9.195238,18.01245,90.0,90.0,90.0
4,O4Ti2,2.2664,136,4.672612,4.672612,3.023232,90.0,90.0,90.0
5,Bi2Se3,0.3929,166,10.1974,10.1974,10.1974,23.74519,23.74519,23.74519
6,O8Zr4,3.4757,14,5.28601,5.217837,5.399561,80.36667,90.0,90.0
7,F4Mn2,2.5855,136,4.977239,4.977239,3.349104,90.0,90.0,90.0
8,O8Ti4,2.2655,141,6.041389,6.041389,6.041389,120.2002,120.2002,89.65351
9,Cl8U2,2.2683,141,7.120093,7.120093,7.120093,107.4191,107.4191,113.6584
10,O8Zr4,3.467,14,5.281256,5.220942,5.400221,80.31969,90.0,90.0
11,O6Si3,5.7173,154,4.970676,4.971114,5.474485,89.99692,90.00614,120.0094
12,O4Pt2,0.8658,58,3.168001,4.604239,4.54263,90.0,90.0,90.0
13,Cs1I1,3.6739,221,4.664805,4.664805,4.669563,90.0,90.0,90.0
14,F4Mn2,2.5638,136,4.966852,4.966852,3.352514,90.0,90.0,90.0
15,N8Si6,4.2488,176,7.659336,7.659283,2.924554,90.0,90.0,120.0
16,O6Te2,1.1473,167,5.283433,5.283433,5.283433,57.17687,57.17687,57.17687
17,Ba4Cl8,5.0952,62,4.815556,7.986084,9.54965,90.0,90.0,90.0
18,K2Sb4,0.20170000000000002,12,7.504253,7.504253,7.18965,86.56035,86.56035,33.36217
19,Er6O9,4.1158,12,7.179572,7.179572,8.570415,79.94017,79.94017,27.92452
20,H16Si4,5.8297,14,4.6747700000000005,7.071101,7.040039,75.99929,90.0,90.0
21,Sb2Te3,0.0323,166,10.56725,10.56725,10.56725,23.74464,23.74464,23.74464
22,Ca1S1,2.3810000000000002,225,4.041836,4.041836,4.041836,60.0,60.0,60.0
23,Cl12P4,4.045,62,6.523118,8.985396,10.08153,90.0,90.0,90.0
24,Ga12Ru4,0.3154,136,6.50901,6.50901,6.730582,90.0,90.0,90.0
25,Co6O8,0.3104,227,5.961863,5.961863,5.961863,60.0,60.0,60.0
26,B2N2,4.4439,187,2.512169,2.512419,8.138304,90.0,90.0,120.0033
27,O8Si4,5.381,20,5.255405,5.255405,8.520445,90.0,90.0,120.4717
28,Pb1Te1,0.7989,225,4.636596,4.636596,4.636596,60.0,60.0,60.0
29,S1Zn1,2.6765,216,3.798486,3.798486,3.798486,60.0,60.0,60.0
30,Bi8O12,1.6141,159,7.910795,7.910795,6.192909,90.00026,90.00026,120.0025
31,S6Zn6,2.6969000000000003,186,3.797927,3.797905,18.62327,90.0,90.0,120.0002
32,As16S16,2.3811,14,18.61792,7.633169,9.804986,82.63866,90.0,90.0
33,Sn1Te1,0.0747,225,4.56254,4.56254,4.56254,60.0,60.0,60.0
34,B2N2,5.2169,186,2.554641,2.554641,4.225396,90.0,90.0,119.9988
35,S4Sn4,0.9457000000000001,62,4.079009,4.441806,11.65868,90.0,90.0,90.0
36,Er12S18,1.4617,11,3.993592,10.12327,17.53426,81.39286,90.0,90.0
37,Dy16O24,3.9255,206,9.245107,9.245107,9.245107,109.4712,109.4712,109.4712
38,F9Y3,5.6023,221,5.391398,5.391398,5.391398,90.0,90.0,90.0
39,Cr4O6,2.3724,167,5.448403,5.448403,5.448403,55.7051,55.7051,55.7051
40,Se4Sn4,0.6528,62,4.270246,4.561948,11.97158,90.0,90.0,90.0
41,Be2O2,7.4612,186,2.710196,2.710196,4.40104,90.0,90.0,119.9973
42,Li2Se1,2.9755000000000003,225,4.258576,4.258576,4.258576,60.0,60.0,60.0
43,F3La1,5.1433,139,4.351493,4.351493,4.351493,126.4548,126.4548,79.14198
44,Cr3Si6,0.9277000000000001,180,4.420988,4.420988,6.364884,90.0,90.0,120.0
45,Ga1P1,1.6437,216,3.883829,3.883829,3.883829,60.0,60.0,60.0
46,Hf6N8,1.0245,220,5.816448,5.816448,5.816448,109.4712,109.4712,109.4712
47,Li2S1,3.3854,225,4.045537,4.045537,4.045537,60.0,60.0,60.0
48,Er1N1,0.12290000000000001,225,3.427905,3.427905,3.427905,60.0,60.0,60.0
49,Cd8I16,2.3919,156,4.312949,4.312931,58.15689,89.99909,90.00001,120.0003
50,Ca8Si4,0.2992,62,4.81371,7.608381,9.048519,90.0,90.0,90.0
51,Ba8Si16,0.7733,62,6.764255,9.043494,11.58839,90.0,90.0,90.0
52,Ca3N2,1.5228000000000002,164,3.863782,3.863661,6.851852,89.99998,90.0,120.001
53,Ga4O6,1.3674,63,4.882604,4.882604,7.206566,90.0,90.0,146.5785
54,Cd3Te3,0.2416,152,4.588795,4.587509,10.49712,89.99058,90.00522,120.0035
55,O8Si4,4.0066,205,4.486695,4.486695,4.486695,90.0,90.0,90.0
56,Li3N1,1.0,191,3.646582,3.6470380000000002,3.878913,90.0,90.0,119.9959
57,Gd8S12,0.5882000000000001,62,3.951415,7.390753,15.37164,90.0,90.0,90.0
58,S3Zn3,2.7204,160,9.57091,9.570899,9.570899,22.88707,22.88751,22.88751
59,Gd2O3,3.7953,164,3.754502,3.754238,5.97274,89.99735,90.0,120.0023
60,Br16Sn4,2.4108,14,7.599189,11.35124,11.43181,76.6916,90.0,90.0
61,Pd4Se8,0.5755,61,5.78258,5.9292359999999995,8.364718,90.0,90.0,90.0
62,Ga4S4,1.71,194,3.615358,3.615358,15.91717,90.0,90.0,120.0328
63,Sb8Zn8,0.1655,61,6.227391,7.812437,8.180166,90.0,90.0,90.0
64,As6Rb4,0.3879,69,9.289449,9.03633,6.946826,69.66943,65.8046,44.52597
65,O6V4,0.033600000000000005,167,5.559203,5.559203,5.559203,54.79924,54.79924,54.79924
66,Cd5I10,2.4045,156,4.310884,4.310884,36.30992,89.99892,90.00108,120.0014
67,Cd2Se2,0.6854,186,4.371199,4.370813,7.142524,90.0,90.0,120.0029
68,Ni2S2,0.2016,194,3.528219,3.528219,5.655867,90.0,90.0,120.0047
69,O6Si3,5.6887,154,5.003909,5.003909,5.506167,90.00012,89.99975,120.0004
70,Ag2I2,1.998,186,4.690524,4.690524,7.707966,90.0,90.0,119.9997
71,P8S20,2.5661,2,9.859131,9.823455,9.732223,110.0448,100.876,92.92805
72,F18Pr6,5.1588,165,7.185366,7.185366,7.346315,90.05191,89.94809,120.0003
73,O16Sn8,0.2437,61,5.231586,5.318263,10.30661,90.0,90.0,90.0
74,Er16O24,3.9664,206,9.133525,9.133525,9.133525,109.4712,109.4712,109.4712
75,Cu3N1,0.5213,221,3.822173,3.822173,3.822173,90.0,90.0,90.0
76,Rb8S20,1.771,19,6.835617,6.991823,18.34692,90.0,90.0,90.0
77,Fe2Se2,0.496,129,4.269965,4.269965,5.477514,90.0,90.0,89.94308
78,O8Si4,5.4182,20,5.238894,5.238894,8.382393,90.0,90.0,121.5549
79,Ni2S2,0.2015,194,3.528105,3.5281919999999998,5.656013,90.0,90.0,120.0008
80,C3N4,2.478,215,3.455759,3.455759,3.455759,90.0,90.0,90.0
81,Cl8Zr2,3.6272,13,7.875928,6.393395,6.8839749999999995,71.19172,90.0,90.0
82,O4Ti2,2.5952,141,5.603459,5.603459,5.603459,139.7754,139.7754,58.19442
83,Cl8O16,0.9573,61,5.691132,7.098982,10.93162,90.0,90.0,90.0
84,N8Si6,4.2421,176,7.661642,7.661794,2.925386,90.0,90.0,120.0005
85,P8S10,2.454,11,11.88208,6.785625,7.096989,63.39103,90.0,90.0
86,P8S20,2.5869,2,9.759138,9.898473,9.903724,92.84672,100.621,109.8335
87,Se2Sn1,0.5433,164,3.928036,3.928016,6.419736,90.00487,90.0,120.0002
88,Bi4I4,0.7022,12,7.931048,7.931048,10.88431,73.3579,73.3579,32.39806
89,Te10Zr2,0.060500000000000005,63,7.981998,7.981998,13.829930000000001,90.0,90.0,150.6049
90,Ge12Os8,0.9046000000000001,116,5.810081,5.810081,9.366522,90.0,90.0,90.0
91,Te1Zn1,1.4782,216,4.341046,4.341046,4.341046,60.0,60.0,60.0
92,O20V12,0.6761,13,5.162212,7.088445,10.00684,70.84788,90.0,90.0
93,S18Y12,1.4916,11,4.046452,10.23432,17.67026,81.3587,90.0,90.0
94,As16Se16,0.1767,14,17.56578,7.008678,10.22674,70.77083,90.0,90.0
95,B8Fe4,0.6755,62,3.71354,4.785476,4.786259,90.0,90.0,90.0
96,Ag2N6,2.223,140,5.115862,5.115862,5.115862,110.641,110.641,107.1562
97,Ga2P2,1.3542,186,3.869725,3.869725,6.375905,90.0,90.0,119.9951
98,I1Li1,4.2448,225,4.255413,4.255413,4.255413,60.0,60.0,60.0
99,Cl1K1,4.7939,221,3.840547,3.840547,3.840547,90.0,90.0,90.0
100,O6Si3,5.6774000000000004,154,5.022462,5.022376,5.500342,90.00027,89.99935,119.9989
101,Cu1I1,1.65,216,4.306261,4.306261,4.306261,60.0,60.0,60.0
102,Ru4S8,1.2768,205,5.677671,5.677671,5.677671,90.0,90.0,90.0
103,Br1H1,1.3182,139,5.387102,4.163285,4.160639,80.65907,49.69192,49.64901
104,O24Si12,4.5555,199,8.810185,8.810169,8.809126,109.4687,109.4697,109.4738
105,O24Y16,4.0567,206,9.267814,9.267814,9.267814,109.4712,109.4712,109.4712
106,Li3Sb1,0.6969000000000001,225,4.637914,4.637914,4.637914,60.0,60.0,60.0
107,Mn1S1,0.8287,225,3.737885,3.737885,3.737885,60.0,60.0,60.0
108,O24Si12,5.6094,96,7.591934,7.591934,8.771437,90.0,90.0,90.0
109,F24Mo4,4.0003,62,5.227996,9.005279,9.904132,90.0,90.0,90.0
110,F4Mn2,2.5727,136,4.975502,4.975502,3.3472020000000002,90.0,90.0,90.0
111,As1Ga1,0.2947,216,4.055385,4.055385,4.055385,60.0,60.0,60.0
112,B2N2,4.49,194,2.512294,2.512294,7.78253,90.0,90.0,119.9859
113,Cl16Ti4,3.6875,14,10.44181,6.989081,10.45687,90.0,102.2898,90.0
114,O4Ti2,2.5300000000000002,141,5.563376,5.563376,5.563376,139.2849,139.2849,58.94073
115,Eu1S1,0.7163,225,4.245118,4.245118,4.245118,60.0,60.0,60.0
116,O6Ti4,0.849,167,5.487953,5.487953,5.487953,57.75324,57.75324,57.75324
117,B6O9,6.2893,152,4.402157,4.402124,8.713289,90.00346,89.99308,119.9993
118,Pb16Rb16,0.42510000000000003,142,13.05755,13.05755,13.05755,124.9728,124.9728,81.58305
119,K4Te4,0.6705,194,5.663876,5.663876,12.37036,90.0,90.0,119.9979
120,K3Sb1,0.6824,225,6.052971,6.052971,6.052971,60.0,60.0,60.0
121,Ca1O2,2.7202,139,4.187949,4.187949,4.187949,133.6594,133.6594,67.62055
122,Cl1K1,5.0427,225,4.514436,4.514436,4.514436,60.0,60.0,60.0
123,O6Si3,5.6776,152,5.022697,5.022697,5.512191,90.0,90.0,120.0
124,Se1Zn1,1.6913,216,4.012523,4.012523,4.012523,60.0,60.0,60.0
125,Cd12I24,2.3773,156,4.311456,4.311444,87.18587,89.99948,90.00001,120.0004
126,Ni1O1,1.7918,225,2.988876,2.988876,2.988876,60.0,60.0,60.0
127,Ge1Te1,0.39680000000000004,225,4.259845,4.259845,4.259845,60.01625,60.01625,60.01625
128,Ho16O24,3.9424,206,9.191254,9.191254,9.191254,109.4712,109.4712,109.4712
129,Mn12O16,0.3346,57,3.063747,9.756802,10.02356,90.0,90.0,90.0
130,Ce1O2,2.4183,225,3.885099,3.885099,3.885099,60.0,60.0,60.0
131,O2Zn2,1.8235999999999999,186,3.197903,3.197903,5.129389,90.0,90.0,119.9964
132,I16Sr8,3.8143000000000002,61,8.001352,8.316472,15.65398,90.0,90.0,90.0
133,Br28In16,2.1517,15,7.828379,7.828379,32.27986,82.73538,82.73538,58.62561
134,Fe4S8,2.0176,205,5.522002,5.522002,5.522002,90.0,90.0,90.0
135,C4Ca2,2.2601,12,4.091262,4.091262,7.364413,75.01531,75.01531,56.18072
136,Mn1Se1,0.39840000000000003,225,3.915473,3.915473,3.915473,60.0,60.0,60.0
137,Br2Zn1,3.531,166,6.973682,6.973682,6.973682,31.15478,31.15478,31.15478
138,O24Sc16,4.2743,206,8.702067,8.702067,8.702067,109.4712,109.4712,109.4712
139,Nd2O3,3.6295,164,3.879083,3.879083,6.120707,89.99621,90.00379,119.9942
140,O1Rb2,1.3072,225,4.869231,4.869231,4.869231,60.0,60.0,60.0
141,Ge3O6,3.1399,152,5.108903,5.108866,5.769592,89.99293,90.00667,120.0066
142,Cd1Te1,0.7091000000000001,216,4.667966,4.667966,4.667966,60.0,60.0,60.0
143,C20Ir16,0.4923,116,5.013347,5.013347,15.00705,90.0,90.0,90.0
144,In4Se4,0.4294,194,4.074306,4.074306,17.34982,90.0,90.0,120.0002
145,S12Sb8,1.2834,62,3.870103,11.23758,12.14699,90.0,90.0,90.0
146,Ca1F2,7.1318,225,3.89704,3.89704,3.89704,60.0,60.0,60.0
147,As2B12,2.6544,166,5.332793,5.332793,5.332793,70.5505,70.5505,70.5505
148,Ir4P8,0.5144000000000001,14,5.818644,5.769557,5.877038,68.57113,90.0,90.0
149,Mg2Si1,0.23500000000000001,225,4.490464,4.490464,4.490464,60.0,60.0,60.0
150,S12Y8,0.6552,62,3.881029,10.506920000000001,10.67859,90.0,90.0,90.0
151,Te6U2,0.3831,11,4.331083,6.189655,10.78508,82.51891,90.0,90.0
152,Ge16Sr8,0.39580000000000004,62,6.571304,8.868863,11.20203,90.0,90.0,90.0
153,C1Zr1,0.4824,216,3.613316,3.613316,3.613316,60.0,60.0,60.0
154,O4Ti2,2.2651,136,4.672062,4.672062,3.022876,90.0,90.0,90.0
155,Ag4O2,0.08700000000000001,224,4.879214,4.879214,4.879214,90.0,90.0,90.0
156,Cd8Sb8,0.0867,61,6.562196,8.413594,8.711666,90.0,90.0,90.0
157,Mn1O1,0.1748,225,3.194796,3.194796,3.194796,60.0,60.0,60.0
158,Cl4F12,2.5712,62,4.737847,6.301363,9.278833,90.0,90.0,90.0
159,F18Nd6,5.2691,165,7.13558,7.13558,7.315398,90.00012,89.99988,120.0009
160,Ni2S2,0.1899,194,3.527799,3.527799,5.639855,90.0,90.0,120.0043
161,C6Si6,2.0219,186,3.094554,3.094554,15.18693,90.0,90.0,119.9998
162,Cu3N1,0.5227,221,3.822696,3.822696,3.822696,90.0,90.0,90.0
163,O8Si4,4.0065,205,4.486775,4.486775,4.486775,90.0,90.0,90.0
164,O48Si24,5.646,148,10.34174,10.34174,10.34174,83.66001,83.66001,83.66001
165,Co4Sb12,0.152,204,7.870081,7.870081,7.870081,109.4712,109.4712,109.4712
166,As6Na18,0.1338,185,8.770018,8.770018,8.992782,90.0,90.0,120.0013
167,O24Y16,4.055,206,9.267417,9.267417,9.267417,109.4712,109.4712,109.4712
168,Li6N2,1.2191,194,3.565362,3.565479,6.356952,90.0,90.0,119.9989
169,O8Sn4,0.15990000000000001,205,5.250757,5.250757,5.250757,90.0,90.0,90.0
170,Se4W2,1.2833,194,3.331944,3.332213,14.10282,90.0,90.0,119.9973
171,Te2V2,0.7638,194,4.162442,4.162595,6.55107,90.0,90.0,119.9988
172,O1Sr1,3.2754,225,3.680561,3.680561,3.680561,60.0,60.0,60.0
173,Pb1Te1,0.7988000000000001,225,4.636534,4.636534,4.636534,60.0,60.0,60.0
174,Ga2Se2,0.7431,160,8.433999,8.433999,8.433999,26.19857,26.19857,26.19857
175,Ag4F8,1.0258,61,5.179439,5.57623,6.017588,90.0,90.0,90.0
176,Mg4Se8,1.6364,205,6.515618,6.515618,6.515618,90.0,90.0,90.0
177,O18Ti10,0.13040000000000002,2,5.59222,7.323367,8.699693,69.51701,73.79093,71.78593
178,Ge2S4,2.503,122,6.112785,6.112785,6.112785,124.125,124.125,82.99241
179,Al1N1,4.434,225,2.876206,2.876206,2.876206,60.0,60.0,60.0
180,Mo2Te4,0.8408,194,3.5661959999999997,3.565912,14.6281,90.0,90.0,120.0026
181,Cd1S1,1.1886,216,4.181996,4.181996,4.181996,60.0,60.0,60.0
182,Cs8S4,2.1025,62,5.453144,8.798627,10.56515,90.0,90.0,90.0
183,O2Zn2,1.8093,186,3.188262,3.188262,5.158364,90.0,90.0,119.9963
184,Ca1Se1,2.076,225,4.2172979999999995,4.2172979999999995,4.2172979999999995,60.0,60.0,60.0
185,F4Mg2,6.8416,136,4.684143,4.684143,3.097963,90.0,90.0,90.0
186,Al4O6,5.8482,167,5.18076,5.18076,5.18076,55.30025,55.30025,55.30025
187,Dy16O24,3.9236,206,9.245332,9.245332,9.245332,109.4712,109.4712,109.4712
188,F12Y4,7.6036,62,4.503662,6.389861,6.956862,90.0,90.0,90.0
189,Ge3O6,3.1545,152,5.0689589999999995,5.0689589999999995,5.757466,90.0,90.0,120.0
190,S18Y12,1.4886,11,4.044458,10.2321,17.70187,81.40002,90.0,90.0
191,Au6F18,2.0769,178,5.303566,5.303566,16.55765,90.0,90.0,120.0
192,Se4Sn4,0.40040000000000003,62,4.347388,4.33003,12.16157,90.0,90.0,90.0
193,F3La1,5.123,139,4.35889,4.35889,4.35889,126.5214,126.5214,79.03291
194,O24U8,2.7943,70,11.10171,11.07142,6.776727,72.44807,71.96037,35.59156
195,Cr4O12,0.3642,40,7.381654,7.381654,8.694378,90.0,90.0,137.7042
196,Cd10I20,2.4003,156,4.3129349999999995,4.312936,72.55587,89.99865,90.00135,120.0009
197,F4Mg2,6.8304,136,4.692463,4.692463,3.094252,90.0,90.0,90.0
198,Cd6I12,2.386,164,4.315704,4.315678,43.61526,89.99874,90.0,120.0002
199,S6Ti2,0.6993,11,3.470759,5.073627,9.218861,95.88847,90.0,90.0
200,Cr4O6,2.3727,167,5.449866,5.449866,5.449866,55.68419,55.68419,55.68419
201,O10Ti6,0.4782,63,5.411174,5.411174,10.2448,90.0,90.0,138.3695
202,O24W8,1.263,57,7.589688,7.761433,7.856012,90.0,90.0,90.0
203,F4Zn2,4.9473,136,4.689694,4.689694,3.074706,90.0,90.0,90.0
204,Al1P1,1.6283,216,3.892798,3.892798,3.892798,60.0,60.0,60.0
205,F2Pb1,4.3969000000000005,225,4.23839,4.23839,4.23839,60.0,60.0,60.0
206,Cr4O6,2.3721,167,5.449848,5.449848,5.449848,55.68081,55.68081,55.68081
207,Sb2Te3,0.044500000000000005,166,10.58676,10.58676,10.58676,23.6879,23.6879,23.6879
208,P8Pt4,0.8751,205,5.741091,5.741091,5.741091,90.0,90.0,90.0
209,O4Ti2,2.2551,136,4.672305,4.672305,3.026253,90.0,90.0,90.0
210,Al14Te20,1.3893,155,10.48057,10.48057,10.48057,89.79589,89.79589,89.79589
211,F8Pb4,4.3783,62,3.945284,6.564795,7.834352,90.0,90.0,90.0
212,O24Sn12,0.32070000000000004,60,4.863994,5.934846,16.40712,90.0,90.0,90.0
213,Cd1Te1,0.7091000000000001,216,4.667953,4.667953,4.667953,60.0,60.0,60.0
214,As4Os2,0.8907,58,3.0490909999999998,5.461576,6.267658,90.0,90.0,90.0
215,Eu1Se1,0.9105000000000001,225,4.43417,4.43417,4.43417,60.0,60.0,60.0
216,Cl8Hf2,4.1672,13,7.884532,6.3260629999999995,6.935815,71.58621,90.0,90.0
217,Ca1Se1,2.0662,225,4.211157,4.211157,4.211157,60.0,60.0,60.0
218,Se4Sn4,0.5296000000000001,62,4.344127,4.370168,12.49939,90.0,90.0,90.0
219,F14Re2,2.1092,2,5.580732,8.56634,9.243574,91.39935,93.96584,90.45174
220,Be24Cl48,6.6506,217,17.12101,17.12101,17.12101,109.4712,109.4712,109.4712
221,Ce1O2,2.4252000000000002,225,3.8825529999999997,3.8825529999999997,3.8825529999999997,60.0,60.0,60.0
222,Cd3I6,2.3815,156,4.310797,4.310797,21.706690000000002,90.00272,89.99728,120.0012
223,Cl1K1,4.8933,221,3.810627,3.810627,3.810627,90.0,90.0,90.0
224,Cd2S2,1.2618,186,4.188956,4.188956,6.8089379999999995,90.0,90.0,119.9947
225,Ba1C2,1.6068,139,4.788005,4.788005,4.788005,125.176,125.176,81.24673
226,S14Zn14,2.6872,156,3.798113,3.7980549999999997,43.48341,90.0,90.0,120.0005
227,O6V4,0.0322,167,5.5598,5.5598,5.5598,54.79799,54.79799,54.79799
228,Cl28Ga12,3.9642,33,9.59283,10.29723,12.3017,90.0,90.0,90.0
229,O8Si4,5.5247,92,5.064327,5.064327,7.074252,90.0,90.0,90.0
230,Se1Zn1,1.6926,216,4.012125,4.012125,4.012125,60.0,60.0,60.0
231,As16Mg24,1.4442,206,10.79307,10.79307,10.79307,109.4712,109.4712,109.4712
232,Mn6O8,0.6376000000000001,141,6.347764,6.347764,6.347764,124.5173,124.5173,82.33902
233,S6Zn6,2.6971,186,3.7979279999999997,3.797905,18.62307,90.0,90.0,120.0002
234,Cd1I2,2.4647,164,4.321772,4.321772,7.289646,90.00327,89.99673,120.0013
235,C6N8,3.17,176,6.450527,6.450513,2.42315,90.0,90.0,119.9996
236,Fe6O8,0.1484,63,5.108165,5.108151,9.99978,90.00007,89.99998,146.4574
237,Ag1I1,1.9769999999999999,216,4.703692,4.703692,4.703692,60.0,60.0,60.0
238,P12Ru4,1.3909,2,5.985612,8.141608,5.920127,70.24117,72.66806,68.60694
239,O4Ti2,2.2623,136,4.67239,4.67239,3.023128,90.0,90.0,90.0
240,Be1Te1,2.0189,216,4.008374,4.008374,4.008374,60.0,60.0,60.0
241,Sb8Zn8,0.1638,61,6.225869,7.817142,8.175924,90.0,90.0,90.0
242,As8La4,0.061,14,7.022433,4.256176,10.44591,83.70733,90.0,90.0
243,S4Ti2,0.4076,194,3.39475,3.39475,12.66826,90.0,90.0,120.0007
244,Cd1Se1,0.641,216,4.370522,4.370522,4.370522,60.0,60.0,60.0
245,Pb1Se1,0.39840000000000003,225,4.386919,4.386919,4.386919,60.0,60.0,60.0
246,S14Zn14,2.6921,156,3.7988239999999998,3.798766,43.47608,89.99999,90.0,120.0005
247,Cd14I28,2.2466,156,4.312418,4.31239,101.5368,90.00199,90.0,120.0002
248,Cd8I16,2.384,156,4.311745,4.31171,58.06006,89.99971,90.0,120.0003
249,Os4Te8,0.14200000000000002,205,6.477154,6.477154,6.477154,90.0,90.0,90.0
250,Cl2Ti1,2.6562,164,3.841693,3.841693,6.087143,89.97885,90.02115,119.8998
251,K2O1,1.7129,225,4.584286,4.584286,4.584286,60.0,60.0,60.0
252,Al4O6,5.8361,167,5.179182,5.179182,5.179182,55.34457,55.34457,55.34457
253,Be1O1,8.185,225,2.579601,2.579601,2.579601,60.0,60.0,60.0
254,Hg8O8,1.1828,2,7.421244,5.8094719999999995,6.7573,90.0219,88.72547,90.17649
255,S1Zn1,2.6807,216,3.797459,3.797459,3.797459,60.0,60.0,60.0
256,Br1Cu1,1.1386,216,4.051125,4.051125,4.051125,60.0,60.0,60.0
257,As2K6,0.122,194,5.856053,5.856236,10.38073,90.0,90.0,119.999
258,O22V12,0.3834,2,5.555959,7.138608,9.734866,89.16352,99.92059,108.6079
259,Se1Yb1,1.3304,225,4.226725,4.226725,4.226725,60.0,60.0,60.0
260,O4Ti2,2.267,136,4.672014,4.672014,3.023588,90.0,90.0,90.0
261,Co2F6,1.4779,167,5.255479,5.255479,5.255479,59.13936,59.13936,59.13936
262,La8S16,0.4713,62,4.177415,8.214961,16.59405,90.0,90.0,90.0
263,Nd6O9,3.37,12,7.545399,7.545399,9.099673,80.1049,80.1049,28.55773
264,B1P1,1.2498,216,3.216469,3.216469,3.216469,60.0,60.0,60.0
265,Ba1Te1,0.7816000000000001,221,4.263551,4.263551,4.263551,90.0,90.0,90.0
266,O4Zr2,3.8697,137,3.647084,3.647084,5.304019,90.0,90.0,90.0
267,Al4O6,5.8481000000000005,167,5.180866,5.180866,5.180866,55.29862,55.29862,55.29862
268,O24Y16,4.0607,206,9.26706,9.26706,9.26706,109.4712,109.4712,109.4712
269,Br2Cl2,1.7512,36,4.535434,4.535434,7.83071,90.0,90.0,112.4456
270,Ni1O1,1.7917,225,2.988777,2.988777,2.988777,60.0,60.0,60.0
271,Cd1Cl2,3.5878,166,6.527537,6.527537,6.527537,34.71534,34.71534,34.71534
272,Br20Eu10,3.1464,85,11.69918,11.69918,7.249771,90.0,90.0,90.0
273,As1Ga1,0.2948,216,4.055359,4.055359,4.055359,60.0,60.0,60.0
274,Eu1S1,0.7168,225,4.245238,4.245238,4.245238,60.0,60.0,60.0
275,O2Zn2,1.8253,186,3.198414,3.198414,5.126802,90.0,90.0,119.9963
276,N1Sc1,0.44980000000000003,225,3.242853,3.242853,3.242853,60.0,60.0,60.0
277,Cd3I6,2.4317,166,22.33189,22.33189,22.33189,11.08631,11.08631,11.08631
278,Be2O2,7.4588,186,2.7105230000000002,2.710413,4.400234,90.0,90.0,120.0013
279,Se1Yb1,1.3397000000000001,225,4.229721,4.229721,4.229721,60.0,60.0,60.0
280,Ge3O6,3.1431,152,5.061842,5.06184,5.750658,89.99681,90.0036,120.0022
281,O6Si3,5.7005,152,4.983657,4.983657,5.490983,90.0,90.0,120.0
282,N8Si6,4.2448,176,7.660182,7.66019,2.92489,90.0,90.0,119.9999
283,Gd8Se12,0.1799,62,4.092203,11.0882,11.31109,90.0,90.0,90.0
284,Bi1Li3,0.3704,225,4.753173,4.753173,4.753173,60.0,60.0,60.0
285,F4Ni2,4.0104,136,4.710049,4.710049,3.115063,90.0,90.0,90.0
286,S1Zn1,2.6807,216,3.7974740000000002,3.7974740000000002,3.7974740000000002,60.0,60.0,60.0
287,Mg3Sb2,0.2369,164,4.595656,4.595656,7.295902,89.99466,90.00534,120.0038
288,S1Sr1,2.4956,225,4.286752,4.286752,4.286752,60.0,60.0,60.0
289,Co2S2,0.26830000000000004,194,3.580823,3.580749,5.836636,90.0,90.0,120.0007
290,Ce2O4,2.4966,136,5.201308,5.201308,3.634463,90.0,90.0,90.0
291,Be6P4,0.2179,224,5.081884,5.081884,5.081884,90.0,90.0,90.0
292,S2Ti1,0.5457000000000001,164,3.481466,3.481466,6.180131,90.00373,89.99627,120.0012
293,Mg2O2,3.3614,186,3.324712,3.324484,5.100639,90.0,90.0,120.0023
294,O24Y16,4.0597,206,9.267744,9.267744,9.267744,109.4712,109.4712,109.4712
295,Na8S16,1.9987,122,9.070131,9.070131,9.070131,115.6399,115.6399,97.73396
296,Al8O12,5.3125,60,4.845966,4.983128,7.091015,90.00077,90.0,90.0
297,Cu3N1,0.5234,221,3.822963,3.822963,3.822963,90.0,90.0,90.0
298,Sn1Te1,0.0746,225,4.562527,4.562527,4.562527,60.0,60.0,60.0
299,Br10Ce4,0.2949,11,4.218765,8.271493,13.73031,91.46882,90.0,90.0
300,Cl8Zn4,4.6002,33,6.226784,6.40352,8.017679,90.0,90.0,90.0
301,Fe4O6,1.2771,167,5.504873,5.504873,5.504873,55.79786,55.79786,55.79786
302,Ge2O4,1.1722000000000001,136,4.478608,4.478608,2.915366,90.0,90.0,90.0
303,Cl12Pt6,2.3977,166,8.704051,8.704051,8.704051,108.3742,108.3742,108.3742
304,Ga4I12,2.3087,14,6.456014,9.98132,12.42441,72.1922,90.0,90.0
305,Au4I4,2.2852,138,4.57161,4.57161,13.71202,90.0,90.0,90.0
306,Ni1O2,1.5308000000000002,166,4.943748,4.943748,4.943748,32.87841,32.87841,32.87841
307,Se6Zr2,0.3534,11,3.788029,5.482671,9.980127,96.28317,90.0,90.0
308,Mo2S4,1.2695,194,3.201803,3.202246,13.89865,90.0,90.0,119.9954
