,full_formula,band_gap,spacegroup.number,structure.lattice.a,structure.lattice.b,structure.lattice.c,structure.lattice.alpha,structure.lattice.beta,structure.lattice.gamma
3947,Ge2O4,1.1859,136,4.475575,4.475575,2.91519,90.0,90.0,90.0
3948,O14Ti8,1.6756,2,7.04369,6.195463,10.91015,104.9742,87.44459,109.1536
3949,Ca1F2,7.1318,225,3.8970380000000002,3.8970380000000002,3.8970380000000002,60.0,60.0,60.0
3950,I32Sn8,1.7585000000000002,205,13.14434,13.14501,13.14935,90.01174,90.02882,90.02921
3951,B1Sb1,0.7522000000000001,216,3.7346,3.7346,3.7346,60.0,60.0,60.0
3952,S20U12,0.16570000000000001,62,7.600367,8.187444,12.02662,90.0,90.0,90.0
3953,P16S24,2.4602,14,13.13056,7.505478,12.32604,78.43844,90.0,90.0
3954,Cl6Pr2,3.0288,176,7.51474,7.517783,4.32003,90.0,90.0,120.0377
3955,O10V4,1.6521,11,3.615775,6.362569,7.4858139999999995,90.11455,90.0,90.0
3956,Cr3Si6,0.9299000000000001,180,4.419876,4.419876,6.366832,90.0,90.0,120.0
3957,O4Ti2,2.2640000000000002,136,4.671649,4.671649,3.022579,90.0,90.0,90.0
3958,O6Si3,5.6751000000000005,154,5.025062,5.024912,5.499719,89.99896,89.9989,119.9987
3959,Be9Cl18,6.3539,154,11.51457,11.51459,8.405503,89.99981,90.00016,119.9982
3960,Cu8O6,0.0611,141,6.475776,6.475776,6.475776,126.1023,126.1023,79.72005
3961,C4Si4,2.2249,186,3.092923,3.092923,10.12664,90.0,90.0,120.0005
3962,O6Si3,5.7297,154,4.974495,4.974464,5.468119,90.00014,89.99978,119.9996
3963,As16S16,2.3895,14,18.64165,7.665158,9.822906,82.7471,90.0,90.0
3964,Cl12Sc7,0.5952000000000001,148,8.301455,8.301455,8.301455,106.9928,106.9928,106.9928
3965,In1P1,0.5803,216,4.199312,4.199312,4.199312,60.0,60.0,60.0
3966,Na2Te1,2.0698,225,5.155096,5.155096,5.155096,60.0,60.0,60.0
3967,Hf4O8,4.0155,14,5.201477,5.136534,5.312021,80.42673,90.0,90.0
3968,Rb4Te2,1.3706,194,6.148583,6.148583,8.120282,90.0,90.0,119.9974
3969,As16S16,2.3743,14,18.79034,7.600804,9.735963,82.12932,90.0,90.0
3970,Cd2Te2,0.744,186,4.664252,4.664252,7.63813,90.0,90.0,119.9942
3971,S20Zn20,2.6762,186,3.79914,3.7991,62.07238,90.0,90.0,120.0003
3972,O24Yb16,0.4048,206,8.993664,8.993664,8.993664,109.4712,109.4712,109.4712
3973,As16Si8,1.0938,55,3.684074,10.54386,15.89787,90.0,90.0,90.0
3974,Cl1Na1,5.0498,225,4.008129,4.008129,4.008129,60.0,60.0,60.0
3975,In16Te12,0.0806,58,4.511632,12.95217,15.85294,90.0,90.0,90.0
3976,Ag4O2,0.0867,224,4.879796,4.879796,4.879796,90.0,90.0,90.0
3977,Cl1K1,5.039,225,4.516141,4.516141,4.516141,60.0,60.0,60.0
3978,Ni1O1,1.7944,225,2.990126,2.990126,2.990126,60.0,60.0,60.0
3979,O2Th1,4.5405,225,4.119796,4.119796,4.119796,60.0,60.0,60.0
3980,Al1Sb1,1.2272,216,4.407901,4.407901,4.407901,60.0,60.0,60.0
3981,O8Zn4,2.7531,205,4.835733,4.835733,4.835733,90.0,90.0,90.0
3982,S12Sb8,1.1253,62,3.893123,10.87808,13.1216,90.0,90.0,90.0
3983,O18Ti10,0.07490000000000001,2,8.618972,5.749579,7.250673,71.73465,70.77119,74.97576
3984,C6N8,2.8947000000000003,220,4.719062,4.719062,4.719062,109.4712,109.4712,109.4712
3985,O4Zr2,3.8732,137,3.644223,3.644223,5.304598,90.0,90.0,90.0
3986,Cu8S4,0.36960000000000004,96,3.998281,3.998281,11.27533,90.0,90.0,90.0
3987,Ba4Br8,4.3845,62,5.076641,8.413337,10.09682,90.0,90.0,90.0
3988,Bi8O12,2.2565,14,8.298547,5.943306,7.566024,67.34501,90.0,90.0
3989,F24U4,3.8047,62,5.377295,9.291949,10.25397,90.0,90.0,90.0
3990,Be2O2,7.4456,186,2.710982,2.710982,4.403474,90.0,90.0,119.9969
3991,S10Zn10,2.6891,186,3.798719,3.798719,31.02165,90.0,90.0,120.0014
3992,O8Sn4,0.1517,205,5.251993,5.251993,5.251993,90.0,90.0,90.0
3993,P8Th6,0.1335,220,7.636922,7.636922,7.636922,109.4712,109.4712,109.4712
3994,Cr4O6,2.3736,167,5.449759,5.449759,5.449759,55.68441,55.68441,55.68441
3995,O24Y16,4.0558,206,9.267056,9.267056,9.267056,109.4712,109.4712,109.4712
3996,Fe2Se2,0.5099,129,4.250751,4.250751,5.465699,90.0,90.0,90.20071
3997,Ge3O6,3.1396,152,5.117927,5.1195,5.785944,90.00992,90.00389,119.9909
3998,S6U2,1.5939,11,4.023495,5.471465,9.555722,83.0475,90.0,90.0
3999,Fe4S8,2.019,205,5.522212,5.522212,5.522212,90.0,90.0,90.0
4000,Cl6Sc2,4.2343,148,7.406355,7.410112,7.404121,52.66159,52.62095,52.60237
4001,Na6Sb2,0.4539,194,5.338396,5.338536,9.484967,90.0,90.0,119.9991
4002,Cl2Cu1,0.8147000000000001,12,3.955037,3.955037,7.054185,61.63063,61.63063,49.7245
4003,Cl10Pa2,2.4146,15,7.395535,7.395535,8.486151,81.25856,81.25856,109.6662
4004,Bi2O3,0.106,115,3.917021,3.917021,5.849795,90.0,90.0,90.0
4005,Se2Zn2,1.7371,186,4.008214,4.007999,6.568146,90.0,90.0,120.003
4006,In2Se2,0.33840000000000003,160,8.875531,8.875531,8.875531,26.54247,26.54247,26.54247
4007,K2Te1,2.1442,225,5.818604,5.818604,5.818604,60.0,60.0,60.0
4008,Lu4S6,2.5588,167,7.192237,7.192237,7.192237,55.74019,55.74019,55.74019
4009,Cd10I20,2.4114,156,4.314132,4.314132,72.4734,90.00107,89.99893,120.001
4010,Ni1O1,1.7925,225,2.989136,2.989136,2.989136,60.0,60.0,60.0
4011,P8Sr6,0.9167000000000001,43,11.4437,9.336019,7.778634,83.39353,54.13546,42.47101
4012,Cl1K1,4.8933,221,3.810627,3.810627,3.810627,90.0,90.0,90.0
4013,Cl18W3,1.8559,164,11.38829,11.38825,6.151269,89.99961,90.0,120.0001
4014,O6V4,0.0378,167,5.557838,5.557838,5.557838,54.84492,54.84492,54.84492
4015,Cl8Pb4,3.7962,62,4.5916239999999995,7.80606,9.335838,90.0,90.0,90.0
4016,Ca1F2,7.1361,166,3.890624,3.890624,3.890624,60.1843,60.1843,60.1843
4017,Se4Si2,1.6774,72,6.961387,6.961387,6.961387,123.0813,127.845,80.83053
4018,S20Tl8,1.6553,19,6.850827,6.975602,17.06769,90.0,90.0,90.0
4019,O48Si24,5.5245,19,5.072715,8.458714,26.87541,90.0,90.0,90.0
4020,Cl1Li1,6.2691,225,3.638772,3.638772,3.638772,60.0,60.0,60.0
4021,Cd2S2,1.2522,186,4.187577,4.187577,6.8231079999999995,90.0,90.0,119.9943
4022,Cl1K1,4.8498,221,3.823489,3.823489,3.823489,90.0,90.0,90.0
4023,Cd12I24,2.3867000000000003,156,4.314399,4.314373,87.1058,90.002,90.0,120.0002
4024,O8Si4,5.5647,92,4.99969,4.99969,6.919396,90.0,90.0,90.0
4025,Co6O8,0.3123,227,5.963518,5.963518,5.963518,60.0,60.0,60.0
4026,Cl1Rb1,4.7614,221,4.002867,4.002867,4.002867,90.0,90.0,90.0
4027,Ca4H8,3.0119,62,3.560874,5.875486,6.754675,90.0,90.0,90.0
4028,C4Eu2,0.44970000000000004,15,4.122989,4.122989,7.850202,74.44028,74.44028,63.70052
4029,N6O12,2.8047,204,7.082858,7.082858,7.082858,109.4712,109.4712,109.4712
4030,Cr4O6,2.3721,167,5.451407,5.451407,5.451407,55.63629,55.63629,55.63629
4031,Ca6P6,0.33690000000000003,189,7.661263,7.66127,5.722429,90.0,90.0,120.0
4032,Fe8Si16,0.9717,64,6.265572,6.265572,7.805376,90.0,90.0,104.0145
4033,Mg2O2,3.3842,186,3.318446,3.318446,5.125216,90.0,90.0,120.0078
4034,S1Sr1,2.4957000000000003,225,4.286854,4.286854,4.286854,60.0,60.0,60.0
4035,O4Pt2,0.8429000000000001,58,3.167512,4.584728,4.569981,90.0,90.0,90.0
4036,B2N2,4.4985,194,2.512204,2.512521,7.830046,90.0,90.0,119.9958
4037,Br1K1,3.9233000000000002,221,4.023176,4.023176,4.023176,90.0,90.0,90.0
4038,Ce1O2,2.4184,225,3.8850759999999998,3.8850759999999998,3.8850759999999998,60.0,60.0,60.0
4039,Ge1Te1,0.7134,160,4.34088,4.34088,4.34088,58.28963,58.28963,58.28963
4040,F18La6,7.6924,165,7.300372,7.300299,7.468522,90.00102,90.0,120.0003
4041,Ag1I1,1.4666000000000001,225,4.357784,4.357784,4.357784,60.0,60.0,60.0
4042,As16S16,2.3827,14,18.42883,7.699577,9.848917,84.06368,90.0,90.0
4043,Mn1Se1,0.39840000000000003,225,3.91505,3.91505,3.91505,60.0,60.0,60.0
4044,Mg1O1,4.469,225,3.007255,3.007255,3.007255,60.0,60.0,60.0
4045,H1Li1,2.9617,225,2.825637,2.825637,2.825637,60.0,60.0,60.0
4046,La2O3,3.7555,164,3.988659,3.988659,6.242302,89.99649,90.00351,119.9957
4047,Se2Ti1,0.0422,164,3.6210649999999998,3.6210649999999998,6.53229,89.95943,90.04057,119.9773
4048,Ru2Sb4,0.1585,58,3.21592,6.002765,6.756757,90.0,90.0,90.0
4049,O12Rb4,0.8695,14,6.111368,6.62319,7.728103,76.16561,90.0,90.0
4050,Br1K1,3.9417,221,4.015284,4.015284,4.015284,90.0,90.0,90.0
4051,Mg1O1,4.4699,225,3.007174,3.007174,3.007174,60.0,60.0,60.0
4052,O4Si2,5.0133,136,4.23248,4.23248,2.6931659999999997,90.0,90.0,90.0
4053,Ga2N2,1.9267,186,3.205502,3.205502,5.21248,90.0,90.0,119.9991
4054,O2Zn2,1.8555000000000001,194,2.936123,2.940487,5.04288,90.0,90.0,119.9509
4055,O4Ti2,2.261,136,4.670885,4.670885,3.023926,90.0,90.0,90.0
4056,Ag2I2,1.464,11,4.359871,4.360537,6.167041,90.38153,90.0,90.0
4057,Co6O8,0.32680000000000003,227,5.975356,5.975356,5.975356,60.0,60.0,60.0
4058,O32Si16,5.353,2,12.95019,13.0833,10.08731,95.66349,91.60867,93.70242
4059,As8S8,2.0455,15,7.303768,7.303768,9.546207,81.11081,81.11081,85.19628
4060,Fe2Sb4,0.5691,58,3.167993,5.81246,6.621749,90.0,90.0,90.0
4061,Cd1Te1,0.7091000000000001,216,4.667957,4.667957,4.667957,60.0,60.0,60.0
4062,K2S1,2.3233,225,5.277117,5.277117,5.277117,60.0,60.0,60.0
4063,C4Ca2,2.2351,12,4.106843,4.106843,7.372192,74.86935,74.86935,56.06033
4064,Hg8I16,1.4041000000000001,137,9.100557,9.100557,13.26971,89.9988,89.9988,89.99982
4065,Cr4O6,2.3743,167,5.450613,5.450613,5.450613,55.65615,55.65615,55.65615
4066,Ge1Te1,0.28,166,4.263623,4.263623,4.263623,59.59665,59.59665,59.59665
4067,C3N4,2.4777,215,3.4559889999999998,3.4559889999999998,3.4559889999999998,90.0,90.0,90.0
4068,O6W2,0.7364,129,5.386967,5.386967,3.980204,90.0,90.0,90.0
4069,In16O24,1.1144,206,8.8692,8.8692,8.8692,109.4712,109.4712,109.4712
4070,Mn1Se1,0.39830000000000004,225,3.915266,3.915266,3.915266,60.0,60.0,60.0
4071,F8Sn4,3.3139,92,5.278069,5.278069,8.458633,90.0,90.0,90.0
4072,Mg2O2,3.2622,194,3.5246459999999997,3.5246459999999997,4.237428,90.0,90.0,119.9952
4073,I28Ta12,0.868,64,11.02815,11.02815,12.87539,90.0,90.0,87.82154
4074,F24U4,3.8482000000000003,62,5.533093,9.380842,10.43333,90.0,90.0,90.0
4075,B2P2,1.0766,186,3.1982559999999998,3.1982559999999998,5.303073,90.0,90.0,119.9997
4076,O8Os2,3.386,15,5.515974,5.515974,9.101025,66.61371,66.61371,51.62262
4077,F4V2,1.7061000000000002,136,4.893794,4.893794,3.310534,90.0,90.0,90.0
4078,Ca2P6,0.024,2,5.607736,5.635515,5.689949,70.28637,79.64899,74.5761
4079,Ho1N1,0.0869,225,3.450927,3.450927,3.450927,60.0,60.0,60.0
4080,F1Rb1,5.5443999999999996,225,4.05202,4.05202,4.05202,60.0,60.0,60.0
4081,S8U4,0.4562,62,4.176137,7.204603,8.587249,90.0,90.0,90.0
4082,Fe4O6,1.2662,167,5.50264,5.50264,5.50264,55.72291,55.72291,55.72291
4083,O24Sc16,4.2751,206,8.700619,8.700619,8.700619,109.4712,109.4712,109.4712
4084,Mg1O1,4.47,225,3.007161,3.007161,3.007161,60.0,60.0,60.0
4085,Al2Ru1,0.032600000000000004,139,4.782732,4.782732,4.782732,141.7507,141.7507,55.20449
4086,Ca1S1,2.3836,225,4.043358,4.043358,4.043358,60.0,60.0,60.0
4087,O12W4,0.9697,130,5.360413,5.360413,7.958245,90.0,90.0,90.0
4088,Eu1Se1,0.8502000000000001,225,4.414878,4.414878,4.414878,60.0,60.0,60.0
4089,O8Si4,5.4971,92,5.099948,5.099948,7.121906,90.0,90.0,90.0
4090,N1Sc1,0.45,225,3.242956,3.242956,3.242956,60.0,60.0,60.0
4091,C6Si6,2.0174,186,3.094796,3.094784,15.18411,90.0,90.0,120.0001
4092,Ga2N2,1.9144,186,3.206091,3.205892,5.217001,90.0,90.0,120.0021
4093,Ge12N16,1.3177,62,4.906936,5.96718,10.11501,90.0,90.0,90.0
4094,Ga2N2,1.909,186,3.202729,3.202729,5.22334,90.00003,89.99997,119.9997
4095,Br2In2,1.1448,63,6.64517,6.64517,4.648239,90.0,90.0,139.4355
4096,N8Si6,4.2388,176,7.658468,7.658472,2.926084,90.0,90.0,120.0005
4097,O4Ti2,2.5599,141,5.586423,5.586423,5.586423,139.525,139.525,58.57522
4098,Ge1Mg2,0.191,225,4.526266,4.526266,4.526266,60.0,60.0,60.0
4099,Ge3O6,3.1386,152,5.047604,5.047603,5.765414,90.00466,89.99529,120.0375
4100,Cl1Na1,5.0569,225,4.005606,4.005606,4.005606,60.0,60.0,60.0
4101,Br8Sr4,4.2117,59,4.478342,6.466272,23.11417,90.0,90.0,90.0
4102,O6Si3,5.6784,154,5.023081,5.023263,5.492802,89.99958,90.00196,120.008
4103,Br8Th2,3.0139,141,7.715022,7.715022,7.715022,106.7257,106.7257,115.1139
4104,F6Fe2,2.734,167,5.432243,5.432243,5.432243,56.9724,56.9724,56.9724
4105,Li3N1,0.9834,191,3.650905,3.650905,3.889793,90.0,90.0,119.9977
4106,Br40Ta8,2.1752,62,6.716057,14.03074,19.62602,90.0,90.0,90.0
4107,O8V4,0.6792,136,4.506692,5.437981,5.434935,67.78601,90.0,90.0
4108,Mo2Se4,1.1002,194,3.332411,3.332411,13.76905,90.0,90.0,120.0008
4109,Pb4S4,0.8209000000000001,28,5.987237,6.221324,7.072197,90.0,90.0,90.0
4110,Al2F6,7.6418,167,4.993102,4.995036,5.102183,60.70649,60.71878,60.02458
4111,O4Si2,5.0094,136,4.231855,4.231855,2.6933800000000003,90.0,90.0,90.0
4112,O8Te4,2.7862999999999998,92,4.982134,4.982134,7.65876,90.0,90.0,90.0
4113,F8Ru2,1.6049,14,5.079221,5.630898,5.511357,64.50366,90.0,90.0
4114,Na4S2,1.7298,194,4.64597,4.64597,6.570834,90.0,90.0,119.9999
4115,O6Si3,5.7118,152,4.978801,4.97816,5.475861,89.99841,89.99841,120.0007
4116,Os4Si4,0.6881,198,4.775402,4.775402,4.775402,90.0,90.0,90.0
4117,Pr8S16,0.2917,62,4.090737,8.062133,16.32088,90.0,90.0,90.0
4118,O6Si3,5.6185,154,5.068198,5.068198,5.547751,90.0,90.0,120.0
4119,Pb1Se1,0.398,225,4.386726,4.386726,4.386726,60.0,60.0,60.0
4120,Pb1Te1,0.8099000000000001,225,4.645709,4.645709,4.645709,60.0,60.0,60.0
4121,Ca1O1,3.6356,225,3.421782,3.421782,3.421782,60.0,60.0,60.0
4122,Al4Ru2,0.12040000000000001,70,5.956582,4.998245,4.65406,76.11849,54.5484,49.33311
4123,Ca1O1,3.6357,225,3.422438,3.422438,3.422438,60.0,60.0,60.0
4124,Cl1K1,4.8498,221,3.823489,3.823489,3.823489,90.0,90.0,90.0
4125,C12N8,3.2262,221,5.091151,5.091151,5.091151,90.0,90.0,90.0
4126,Mn1Se1,0.39840000000000003,225,3.915473,3.915473,3.915473,60.0,60.0,60.0
4127,As8O12,4.021,227,8.140154,8.140154,8.140154,60.0,60.0,60.0
4128,In2Se3,0.154,164,3.991305,3.991305,9.787787999999999,90.00115,89.99885,120.0006
4129,O16Se8,3.19,55,5.3076039999999995,9.182951,9.301674,90.0,90.0,90.0
4130,Mo1S2,1.332,160,7.326403,7.326403,7.326403,25.2376,25.2376,25.2376
4131,Ru4Si4,0.3564,198,4.720291,4.720291,4.720291,90.0,90.0,90.0
4132,S2Sn2,0.4365,63,6.311172,6.311172,4.160748,90.0,90.0,141.6457
4133,O10V4,2.132,31,3.615011,4.591092,11.62221,90.0,90.0,90.0
4134,F1Li1,8.7454,225,2.884226,2.884226,2.884226,60.0,60.0,60.0
4135,O68Si34,5.5351,227,14.1497,14.1497,14.1497,60.0,60.0,60.0
4136,Be1O1,6.8522,216,2.704055,2.704055,2.704055,60.0,60.0,60.0
4137,Li4O4,1.9834,194,3.185265,3.185141,7.71191,90.0,90.0,120.0013
4138,Mg3Sb2,0.20950000000000002,164,4.604439,4.603886,7.283243,89.99611,90.0,120.004
4139,S1Sr1,2.4953,225,4.286596,4.286596,4.286596,60.0,60.0,60.0
4140,O9W3,0.7586,191,7.480874,7.480874,3.846527,90.0,90.0,120.0
4141,P6Rb4,0.7577,69,8.89756,8.719868,6.68943,69.09986,66.28349,44.61665
4142,Rb2S2,1.7045,71,6.125318,6.125318,6.125318,131.1158,111.5034,88.61675
4143,O8V4,0.6769000000000001,136,5.432462,5.432462,4.513602,89.97778,89.97778,67.82957
4144,Fe2Se2,0.5062,129,4.266201,4.266201,5.519618,90.0,90.0,89.83293
4145,F20U4,3.3709,122,8.858352,8.858352,8.858352,97.00627,97.00627,139.1167
4146,Na2S1,2.4908,225,4.621651,4.621651,4.621651,60.0,60.0,60.0
4147,O12Te6,2.6234,2,7.167688,7.818311,5.941782,93.49928,67.70547,74.30373
4148,Cl10Sb2,1.7696,194,7.917587,7.917792,8.352728,90.0,90.0,120.0009
4149,Ge2O4,1.1634,136,4.483941,4.483941,2.91217,90.0,90.0,90.0
4150,O8Zr4,3.4682,14,5.285045,5.217466,5.39909,80.38462,90.0,90.0
4151,O2Zn2,1.8212000000000002,186,3.199077,3.199077,5.130011,90.0,90.0,120.0
4152,Al4O6,5.8506,167,5.1806470000000004,5.1806470000000004,5.1806470000000004,55.29728,55.29728,55.29728
4153,H1Li1,2.9622,225,2.826339,2.826339,2.826339,60.0,60.0,60.0
4154,O4Sn4,0.6376000000000001,64,3.91343,3.91343,10.37623,90.0,90.0,90.03044
4155,Ga4Se4,0.9797,187,3.796675,3.795401,16.52867,90.0,90.0,120.0111
4156,F6Fe2,2.734,167,5.432243,5.432243,5.432243,56.9724,56.9724,56.9724
4157,Na2Se1,2.0514,225,4.824591,4.824591,4.824591,60.0,60.0,60.0
4158,Ni4S8,0.3497,205,5.785626,5.785626,5.785626,90.0,90.0,90.0
4159,Te1Zn1,1.4782,216,4.341048,4.341048,4.341048,60.0,60.0,60.0
4160,Mn4S8,1.2339,205,5.647988,5.647988,5.647988,90.0,90.0,90.0
4161,O12Si6,3.6709,166,8.536902,8.536902,8.536902,116.1956,116.1956,116.1956
4162,Au8F40,0.9043,62,5.165638,9.984235,15.44022,90.0,90.0,89.98408
4163,Cd9I18,2.4127,156,4.313286,4.313253,65.5596,89.99811,90.0,120.0003
4164,F4Mn2,2.586,136,4.971716,4.971716,3.341926,90.0,90.0,90.0
4165,O6Si3,5.6962,154,5.002379,5.002373,5.473943,89.99832,90.00129,120.001
4166,O4Ti2,2.2661,136,4.672459,4.672459,3.023094,90.0,90.0,90.0
4167,O16Si8,5.5458,15,7.235958,7.235958,7.227083,75.59056,75.59056,119.9165
4168,Er16O24,3.9627,206,9.132154,9.132154,9.132154,109.4712,109.4712,109.4712
4169,C2Se4,2.5657,64,4.885344,4.885344,9.755644,90.0,90.0,102.3623
4170,Co6O8,0.3116,227,5.96266,5.96266,5.96266,60.0,60.0,60.0
4171,Ge16Se36,1.2999,29,7.188616,13.15828,18.14991,90.0,90.0,90.0
4172,Cl1K1,5.0406,225,4.5154,4.5154,4.5154,60.0,60.0,60.0
4173,Ga2N2,1.9315,186,3.205631,3.205482,5.211113,90.0,90.0,120.0015
4174,Ga8I12,2.205,14,8.684245,7.859579,11.71048,88.74883,90.0,90.0
4175,Ca8Si4,0.3029,62,4.815012,7.6234079999999995,9.048828,90.0,90.0,90.0
