,full_formula,DebyeTemp,spacegroup.number,structure.lattice.a,structure.lattice.b,structure.lattice.c,structure.lattice.alpha,structure.lattice.beta,structure.lattice.gamma
5086,Cu2K2Se2,259.194,194,4.225205,4.225205,9.690976,90.0,90.0,120.0003
5087,In4Pd4Sr4,193.15,62,4.560219,7.6471160000000005,8.673786,90.0,90.0,90.0
5088,Ho3Ir3Sn3,222.858,189,7.552961,7.552961,3.856587,90.0,90.0,120.0001
5089,C2Ni1Tb1,493.548,38,3.761716,3.761716,3.5949169999999997,90.0,90.0,106.5216
5090,In4Pd2Yb2,187.756,63,5.65529,5.65529,7.939472,90.0,90.0,132.9943
5091,Al4Mg2O8,871.16,63,4.84424,4.84424,9.46267,90.0,90.0,146.3256
5092,Cl6Cs2Pt1,117.36,225,7.486862,7.486862,7.486862,60.0,60.0,60.0
5093,Na12Sb4Te12,136.627,198,9.630387,9.630387,9.630387,90.0,90.0,90.0
5094,Cs1F3Sr1,257.5,221,4.821638,4.821638,4.821638,90.0,90.0,90.0
5095,Hf4Ni4P4,405.034,62,3.696681,6.289862,7.101092,90.0,90.0,90.0
5096,H1Mg1Ni1,508.896,123,3.076639,3.076639,3.204888,90.0,90.0,90.0
5097,Cu3Mg3Y3,251.28,189,7.465069,7.465069,4.025167,90.0,90.0,120.0021
5098,Ni2Si2Zr1,480.417,139,5.52981,5.52981,5.52981,140.1621,140.1621,57.60723
5099,Al2Mn2Pt2,308.038,194,4.380019,4.380019,5.614924,90.0,90.0,119.9998
5100,In2La2Zn2,271.767,194,4.791025,4.791025,7.968362,90.0,90.0,120.0016
5101,Ge3La1Os1,289.532,107,6.011491,6.011491,6.011491,136.2051,136.2051,63.66339
5102,La1Ru4Sb12,275.598,204,8.123343,8.123343,8.123343,109.4712,109.4712,109.4712
5103,Cu2Sn2Tb2,274.59,194,4.567425,4.567288,7.449459,90.0,90.0,120.001
5104,Ge2Ho1Rh2,321.258,139,5.929253,5.929253,5.929253,139.341,139.341,58.85524
5105,Ce3Ga3Ni3,273.716,189,6.8958639999999995,6.8958639999999995,3.956545,90.0,90.0,120.005
5106,As1Cu3S4,298.98,215,5.311328,5.311328,5.311328,90.0,90.0,90.0
5107,Ba4O12Ru4,361.042,194,5.835688,5.835583,9.786306,90.0,90.0,120.0006
5108,Ge1I3Rb1,145.483,221,5.950083,5.950083,5.950083,90.0,90.0,90.0
5109,H2Si6Y10,416.598,193,8.468667,8.468667,6.26629,90.0,90.0,119.9999
5110,Ni4Sn4Y4,281.771,62,4.5008669999999995,7.177338,7.737494,90.0,90.0,90.0
5111,Ga1Hf1Ni2,151.028,225,4.268476,4.268476,4.268476,60.0,60.0,60.0
5112,Ge4Rh4Zr4,380.075,62,4.01422,6.654502,7.608445,90.0,90.0,90.0
5113,Cl6K2Tc1,176.007,225,7.131581,7.131581,7.131581,60.0,60.0,60.0
5114,Nb5P4Pd4,386.36,87,7.598522,7.598522,7.598522,93.29729,93.29729,152.2474
5115,Au2Ca2In4,207.045,63,5.925549,5.925549,7.732714,90.0,90.0,134.0059
5116,Mg2O8Rh4,454.08,227,6.119291,6.119291,6.119291,60.0,60.0,60.0
5117,Dy4Ge6Rh7,340.967,229,7.261074,7.261074,7.261074,109.4712,109.4712,109.4712
5118,In1Li2Mg1,313.207,225,4.747645,4.747645,4.747645,60.0,60.0,60.0
5119,As4Co4S4,530.879,198,5.594051,5.594051,5.594051,90.0,90.0,90.0
5120,Mn2Na2O4,566.896,59,2.922257,4.8638770000000005,6.409999,90.0,90.0,90.0
5121,Mg1Ni1Sb1,322.177,216,4.284799,4.284799,4.284799,60.0,60.0,60.0
5122,Ca1Si2Zn2,388.781,139,5.928271,5.928271,5.928271,138.4971,138.4971,60.14259
5123,Ni4O8Si2,671.928,227,5.740061,5.740061,5.740061,60.0,60.0,60.0
5124,Au2Ga2O4,326.481,194,3.03641,3.03641,12.44962,90.0,90.0,120.0005
