,full_formula,DebyeTemp,spacegroup.number,structure.lattice.a,structure.lattice.b,structure.lattice.c,structure.lattice.alpha,structure.lattice.beta,structure.lattice.gamma
0,Ag2I2,86.4489,129,4.722015,4.722015,6.062912,90.0,90.0,90.0
1,As4Co2,447.824,58,3.036728,5.137694,5.915998,90.0,90.0,90.0
2,Pt10Se8,236.215,14,4.662265,6.63579,11.23366,78.56701,90.0,90.0
3,Cs3In9,152.596,119,9.948031,9.948031,9.948031,137.6269,137.6269,61.47493
4,Ag1Zr2,251.4,139,6.552628,6.552628,6.552628,151.314,151.314,41.01598
5,Nb2P2,455.098,141,5.794445,5.794445,5.794445,144.6414,144.6414,50.8693
6,Ca1S1,444.799,225,4.041836,4.041836,4.041836,60.0,60.0,60.0
7,Ca2Ga4,359.82,194,4.483667,4.483667,7.341551,90.0,90.0,120.0019
8,S6Zn6,354.741,186,3.797927,3.797905,18.62327,90.0,90.0,120.0002
9,Ho12Ru4,188.858,62,6.269349,7.248523,9.127681,90.0,90.0,90.0
10,Si2Th1,232.599,191,4.222589,4.222366,4.198606,90.0,90.0,120.0017
11,Pb3Yb1,137.123,221,4.939364,4.939364,4.939364,90.0,90.0,90.0
12,F9Y3,454.088,221,5.391398,5.391398,5.391398,90.0,90.0,90.0
13,Li2Se1,384.267,225,4.258576,4.258576,4.258576,60.0,60.0,60.0
14,As8Ga8,319.165,205,7.028121,7.028121,7.028121,90.0,90.0,90.0
15,Ir8Zr16,200.546,227,8.836127,8.836127,8.836127,60.0,60.0,60.0
16,Ce1Tl3,152.116,221,4.7893229999999996,4.7893229999999996,4.7893229999999996,90.0,90.0,90.0
17,C1Sn1,453.545,225,3.463288,3.463288,3.463288,60.0,60.0,60.0
18,Er1Hg2,170.298,191,4.9333659999999995,4.9333659999999995,3.396684,90.0,90.0,119.9964
19,Cu36Ga16,354.124,215,8.753845,8.753845,8.753845,90.0,90.0,90.0
20,Ga3Ni5,370.964,65,4.996699,4.996699,3.734987,90.0,90.0,97.15151
21,As1Rh2,355.671,225,4.036921,4.036921,4.036921,60.0,60.0,60.0
22,La3Sn7,198.848,65,13.58373,13.58373,4.76986,90.0,90.0,160.1663
23,Sc4Te4,256.491,194,4.174737,4.174744,13.98107,90.0,90.0,119.9999
24,Pd1Zr2,290.247,139,5.954965,5.954965,5.954965,147.5399,147.5399,46.56502
25,Mo2P4,615.403,36,5.84898,5.84898,5.021331,90.0,90.0,148.4735
26,K2O1,268.862,225,4.586543,4.586543,4.586543,60.0,60.0,60.0
27,Rh1Y1,273.373,221,3.421544,3.421544,3.421544,90.0,90.0,90.0
28,C3N4,1819.11,215,3.455759,3.455759,3.455759,90.0,90.0,90.0
29,Au2Ta6,232.989,223,5.274028,5.274028,5.274028,90.0,90.0,90.0
30,Ge6Rh10,326.019,55,3.9686779999999997,5.499502,10.54647,90.0,90.0,90.0
31,Rh4Sb12,287.017,204,8.103481,8.103481,8.103481,109.4712,109.4712,109.4712
32,Nb2Pt2,310.472,51,2.808726,4.667475,5.046316,90.0,90.0,90.0
33,Mn2Te2,205.522,194,4.21675,4.21675,6.837193,90.0,90.0,120.0022
34,Dy2S4,327.586,129,3.861027,3.861027,7.955972,90.0,90.0,90.0
35,Ir4Zr12,182.986,121,8.142709,8.142709,8.142709,97.06583,97.06583,138.9364
36,Au2Nb1,247.063,191,4.698419,4.698419,2.757579,90.0,90.0,119.9964
37,B8Fe4,1052.89,62,3.71354,4.785476,4.786259,90.0,90.0,90.0
38,La1S1,292.585,221,3.614775,3.614775,3.614775,90.0,90.0,90.0
39,Ga2P2,422.302,186,3.869725,3.869725,6.375905,90.0,90.0,119.9951
40,O10Sb4,491.19,15,6.88194,6.88194,5.517019,77.36268,77.36268,41.60861
41,Al1Pt3,264.783,221,3.894145,3.894145,3.894145,90.0,90.0,90.0
42,Li3Sb1,349.129,225,4.637914,4.637914,4.637914,60.0,60.0,60.0
43,Sb1Tl1,137.81,216,4.788011,4.788011,4.788011,60.0,60.0,60.0
44,Pb4Sr8,148.317,62,5.478807,8.483891,10.25187,90.0,90.0,90.0
45,Al40V4,474.331,227,10.23164,10.23164,10.23164,60.0,60.0,60.0
46,La4Sb2,213.545,139,9.743019,9.743019,9.743019,152.0696,152.0696,39.91172
47,P1Sn1,305.56,225,3.9990319999999997,3.9990319999999997,3.9990319999999997,60.0,60.0,60.0
48,C1Ce1,399.12,225,3.670061,3.670061,3.670061,60.0,60.0,60.0
49,B1C7,2109.0,115,2.519394,2.519394,7.476886,90.0,90.0,90.0
50,B4Nb6,650.308,127,6.246654,6.246654,3.325724,90.0,90.0,90.0
51,O3Re1,567.582,221,3.801075,3.801075,3.801075,90.0,90.0,90.0
52,Hf2Si4,441.61,63,7.525043,7.525043,3.659609,90.0,90.0,151.6523
53,Hf4P4,362.938,194,3.6657539999999997,3.6657539999999997,12.41747,90.0,90.0,119.9998
54,O8Pt6,304.461,223,5.646621,5.646621,5.646621,90.0,90.0,90.0
55,O16Sb8,422.468,33,4.904875,5.552904,11.93578,90.0,90.0,90.00002
56,S12Y8,365.344,62,3.881029,10.506920000000001,10.67859,90.0,90.0,90.0
57,Hf4Pt12,298.328,194,5.655938,5.655914,9.267756,90.0,90.0,120.0001
58,O8Re4,485.542,14,4.892933,5.567317,5.6330100000000005,60.45989,90.0,90.0
59,C1Zr1,309.562,216,3.613316,3.613316,3.613316,60.0,60.0,60.0
60,Ir1N1,201.465,216,3.267109,3.267109,3.267109,60.0,60.0,60.0
61,Cd6Ho2,196.496,63,6.495506,6.495506,4.861169,90.0,90.0,113.0092
62,C6Si6,1146.3,186,3.094554,3.094554,15.18693,90.0,90.0,119.9998
63,Co4Sb12,311.924,204,7.870081,7.870081,7.870081,109.4712,109.4712,109.4712
64,La1Te1,229.725,221,3.964466,3.964466,3.964466,90.0,90.0,90.0
65,Ge4Rh8,340.293,62,4.056265,5.511349,7.618316,90.0,90.0,90.0
66,Te2V2,262.681,194,4.162442,4.162595,6.55107,90.0,90.0,119.9988
67,In3Zr1,293.039,139,5.789264,5.789264,5.789264,136.6709,136.6709,62.94479
68,Ru8Sc4,277.474,194,5.192766,5.192766,8.645293,90.0,90.0,119.9967
69,Al6Hf2,450.884,139,9.05087,9.05087,9.05087,154.4687,154.4687,36.41873
70,Mg4Se8,294.163,205,6.515618,6.515618,6.515618,90.0,90.0,90.0
71,As1U1,104.193,221,3.634168,3.634168,3.634168,90.0,90.0,90.0
72,Al1N1,1166.1,225,2.876206,2.876206,2.876206,60.0,60.0,60.0
73,La1Pt5,249.12,191,5.432729,5.432646,4.401101,90.0,90.0,120.0005
74,Hg1Li1,161.478,221,3.342357,3.342357,3.342357,90.0,90.0,90.0
75,Al14Th4,354.864,55,5.5549990000000005,5.946502,11.62451,90.0,90.0,90.0
76,Al1Ru1,479.441,221,2.993855,2.993855,2.993855,90.0,90.0,90.0
77,Pt3V1,314.034,221,3.921308,3.921308,3.921308,90.0,90.0,90.0
78,Rh4Sb8,295.27,14,6.646756,6.712046,6.765363,62.87128,90.0,90.0
79,Rh4Si4,440.184,198,4.694379,4.694379,4.694379,90.0,90.0,90.0
80,Na2Pt4,284.1,227,5.334331,5.334331,5.334331,60.0,60.0,60.0
81,Ga2Y2,319.757,63,5.880067,5.880067,4.061185,90.0,90.0,136.4772
82,Cd3I6,94.597,156,4.310797,4.310797,21.706690000000002,90.00272,89.99728,120.0012
83,Ru8Sn12,305.921,116,6.214167,6.214167,10.03859,90.0,90.0,90.0
84,Li40Pb12,235.749,215,10.11805,10.11805,10.11805,90.0,90.0,90.0
85,Al4Ba1,343.158,139,6.539279,6.539279,6.539279,139.1081,139.1081,59.21003
86,B2Zr1,921.725,191,3.175974,3.175974,3.555869,90.0,90.0,119.9999
87,Al1Au2,165.275,139,5.05689,5.05689,5.05689,141.4598,141.4598,55.64339
88,As16Mg24,332.888,206,10.79307,10.79307,10.79307,109.4712,109.4712,109.4712
89,B2Hf1,710.983,191,3.144581,3.144349,3.491561,90.0,90.0,120.0024
90,Ba6Pb10,134.042,63,7.30674,7.30674,11.53668,90.0,90.0,101.8762
91,Ho6Tl10,136.035,63,6.463862,6.463862,10.52933,90.0,90.0,102.3006
92,P12Ru4,616.073,2,5.985612,8.141608,5.920127,70.24117,72.66806,68.60694
93,Os4Te8,325.445,205,6.477154,6.477154,6.477154,90.0,90.0,90.0
94,O4Os2,458.347,136,4.52619,4.52619,3.225164,90.0,90.0,90.0
95,Ca1Pd1,239.886,221,3.527989,3.527989,3.527989,90.0,90.0,90.0
96,Si4Zr2,565.333,63,7.635143,7.635143,3.680274,90.0,90.0,151.9181
97,S1Tb1,284.327,225,3.927045,3.927045,3.927045,60.0,60.0,60.0
98,Au4Bi2,153.823,227,5.697786,5.697786,5.697786,60.0,60.0,60.0
99,Pd6Si3,306.437,189,6.528613,6.528685,3.466083,90.0,90.0,119.9996
100,Co2Zr4,198.453,140,5.374422,5.374422,5.374422,107.83840000000001,107.83840000000001,112.7887
101,Pa2Sb4,224.66,129,4.339957,4.339957,8.739263,90.0,90.0,90.0
102,Te4Y2,209.347,129,4.454496,4.454496,8.903936,90.0,90.0,90.0
103,Rh3Th1,265.978,221,4.22433,4.22433,4.22433,90.0,90.0,90.0
104,Ce2O4,380.265,136,5.201308,5.201308,3.634463,90.0,90.0,90.0
105,Be6P4,829.091,224,5.081884,5.081884,5.081884,90.0,90.0,90.0
106,Os1Ti1,427.864,221,3.128025,3.128025,3.128025,90.0,90.0,90.0
107,Be26Hf2,940.085,226,7.042927,7.042927,7.042927,60.0,60.0,60.0
108,Mg2O2,583.934,186,3.324712,3.324484,5.100639,90.0,90.0,120.0023
109,Mo6Sb14,282.925,229,8.382279,8.382279,8.382279,109.4712,109.4712,109.4712
110,Ir3Ta1,417.602,221,3.905927,3.905927,3.905927,90.0,90.0,90.0
111,Al4O6,976.268,167,5.178493,5.178493,5.178493,55.30911,55.30911,55.30911
112,Au4Sb8,158.255,205,6.77619,6.77619,6.77619,90.0,90.0,90.0
113,Al1Os1,399.56,221,3.009884,3.009884,3.009884,90.0,90.0,90.0
114,Ba2Cd1,133.278,139,8.210153,8.210153,8.210153,149.5486,149.5486,43.60446
115,Au1In2,160.774,225,4.7044429999999995,4.7044429999999995,4.7044429999999995,60.0,60.0,60.0
116,He8Ne4,140.746,194,5.08542,5.085195,8.273961,90.0,90.0,120.0015
117,Ca1Ga2,304.767,191,4.31632,4.316585,4.296061,90.0,90.0,120.002
118,Nb6Os2,344.986,223,5.185045,5.185045,5.185045,90.0,90.0,90.0
119,F5U1,198.184,87,5.321422,5.321422,5.321422,100.5346,100.5346,129.3711
120,Mg1Tb1,223.12,221,3.795203,3.795203,3.795203,90.0,90.0,90.0
121,Ba2Te6,158.842,113,8.065343,8.065343,4.453309,90.0,90.0,90.0
122,C60Sr6,509.519,204,9.571935,9.571935,9.571935,109.4712,109.4712,109.4712
123,Al4Yb2,318.102,227,5.64387,5.64387,5.64387,60.0,60.0,60.0
124,La1Tl1,134.8,221,4.001183,4.001183,4.001183,90.0,90.0,90.0
125,Au4Ho8,145.664,62,4.955346,7.04793,8.901254,90.0,90.0,90.0
126,Be1Rh1,482.139,221,2.773381,2.773381,2.773381,90.0,90.0,90.0
127,B4N4,590.104,131,9.129397,9.129397,2.622877,90.0,90.0,90.0
128,Au1Yb1,119.583,221,3.664334,3.664334,3.664334,90.0,90.0,90.0
129,N8O4,175.853,205,5.952252,5.952252,5.952252,90.0,90.0,90.0
130,As8Th4,269.653,62,4.071621,7.456265,10.09343,90.0,90.0,90.0
131,Ho16O24,370.434,206,9.184628,9.184628,9.184628,109.4712,109.4712,109.4712
132,Er1Pd1,198.238,221,3.47634,3.47634,3.47634,90.0,90.0,90.0
133,Pd2Sb2,204.054,194,4.117244,4.117244,5.692807,90.0,90.0,120.0056
134,Si6V3,774.656,180,4.582418,4.582418,6.404999,90.0,90.0,120.0
135,La2Rh4,260.816,227,5.453625,5.453625,5.453625,60.0,60.0,60.0
136,Na4S4,315.184,194,4.494553,4.494488,10.25876,90.0,90.0,120.0005
137,Ti1Zn3,330.181,221,3.9450339999999997,3.9450339999999997,3.9450339999999997,90.0,90.0,90.0
138,Pb1S1,221.09,225,4.245765,4.245765,4.245765,60.0,60.0,60.0
139,B2Mn1,767.729,191,3.054002,3.054002,3.468658,90.0,90.0,119.9991
140,C1Si1,1069.66,225,2.869404,2.869404,2.869404,60.0,60.0,60.0
141,Cd33Na6,177.474,200,9.808389,9.808389,9.808389,90.0,90.0,90.0
142,Ir3V1,459.447,221,3.8201359999999998,3.8201359999999998,3.8201359999999998,90.0,90.0,90.0
143,Sn4Tb2,226.171,63,8.597319,8.597319,4.418213,90.0,90.0,149.8681
144,Ir1Sn2,188.962,225,4.577522,4.577522,4.577522,60.0,60.0,60.0
145,N1Ta1,518.649,221,2.770479,2.770479,2.770479,90.0,90.0,90.0
146,Ge8W4,413.395,62,3.498239,6.452645,8.616657,90.0,90.0,90.0
147,Ir8Sc22,276.049,225,9.598625,9.598625,9.598625,60.0,60.0,60.0
148,Dy1Zn1,220.022,221,3.560788,3.560788,3.560788,90.0,90.0,90.0
149,Ba2Pd2,156.826,63,6.355831,6.355831,4.755188,90.0,90.0,139.3473
150,Al12Tc2,556.498,63,5.042346,5.042346,9.022687,90.0,90.0,98.30676
151,Bi8Ir4,209.05,14,6.881605,6.976066,7.048932,63.87235,90.0,90.0
152,Al2Au1,252.029,225,4.273651,4.273651,4.273651,60.0,60.0,60.0
153,Ir4Sb12,285.372,204,8.107101,8.107101,8.107101,109.4712,109.4712,109.4712
154,Cd1Pd1,239.917,123,3.065224,3.065224,3.676284,90.0,90.0,90.0
155,Ni2Tl2,178.265,194,4.119243,4.119295,5.100076,90.0,90.0,119.9996
156,Cu1Ti2,445.141,139,5.859999,5.859999,5.859999,150.4841,150.4841,42.23121
157,C1Y1,456.329,225,3.602477,3.602477,3.602477,60.0,60.0,60.0
158,Rh4Sb12,287.053,204,8.103354,8.103354,8.103354,109.4712,109.4712,109.4712
159,Mg2Pb1,229.515,225,4.885459,4.885459,4.885459,60.0,60.0,60.0
160,Li1Tl1,170.203,221,3.491311,3.491311,3.491311,90.0,90.0,90.0
161,Ba2O2,256.804,194,3.847204,3.847204,6.686655,90.0,90.0,119.9999
162,Ge4La4,271.522,62,4.169505,6.159379,8.551104,90.0,90.0,90.0
163,Os4S8,504.213,205,5.673878,5.673878,5.673878,90.0,90.0,90.0
164,B1Be2,1347.87,225,3.230939,3.230939,3.230939,60.0,60.0,60.0
165,Se4Tl4,121.163,140,6.8179739999999995,6.8179739999999995,6.8179739999999995,105.8772,105.8772,116.9266
166,Co2Te4,230.922,58,4.055815,5.415588,6.594612,89.9997,90.0,90.0
167,Ca2Pd4,267.329,227,5.452478,5.452478,5.452478,60.0,60.0,60.0
168,Au16Zr4,195.565,62,4.93857,5.088036,14.52093,90.0,90.0,90.0
169,Cd1Se1,174.327,216,4.371177,4.371177,4.371177,60.0,60.0,60.0
170,Ga4Pd4,287.542,198,4.942045,4.942045,4.942045,90.0,90.0,90.0
171,N1V1,928.756,221,2.57002,2.57002,2.57002,90.0,90.0,90.0
172,Gd1O1,295.83,216,3.8106400000000002,3.8106400000000002,3.8106400000000002,60.0,60.0,60.0
173,P12Tc8,572.761,2,6.308898,6.378943,7.739274,95.68985,101.71340000000001,104.2905
174,O8Zr4,552.519,14,5.283601,5.218154,5.402093,80.35413,90.0,90.0
175,Be26Ce2,978.044,226,7.241704,7.241704,7.241704,60.0,60.0,60.0
176,Cu2O2,269.212,15,2.931772,2.931772,5.156025,88.50149,88.50149,88.25399
177,Si6Sr10,264.736,108,9.77779,9.77779,9.77779,131.2529,131.2529,71.41156
178,In1Pd3,253.33,139,4.779084,4.779084,4.779084,128.646,128.646,75.58079
179,K5Sb4,159.607,12,6.851636,6.851636,11.41029,70.11919,70.11919,47.71063
180,In1Mg3,268.354,221,4.49,4.49,4.49,90.0,90.0,90.0
181,Be1Pd1,289.656,221,2.827073,2.827073,2.827073,90.0,90.0,90.0
182,Au1Mg1,208.746,221,3.298591,3.298591,3.298591,90.0,90.0,90.0
183,Co4Sb12,311.135,204,7.87287,7.87287,7.87287,109.4712,109.4712,109.4712
184,Pt1Ti1,164.64,221,3.203781,3.203781,3.203781,90.0,90.0,90.0
185,As1Zr1,344.61,225,3.873037,3.873037,3.873037,60.0,60.0,60.0
186,Th1Zn4,283.396,139,6.005146,6.005146,6.005146,138.1383,138.1383,60.69131
187,Se1Tb1,211.581,225,4.095409,4.095409,4.095409,60.0,60.0,60.0
188,Nb2S2,491.926,194,3.304787,3.304956,6.701469,90.0,90.0,119.9983
189,Pd2Ta1,292.074,71,4.8952100000000005,4.8952100000000005,4.8952100000000005,145.1085,133.9714,59.0336
190,N4Re2,619.293,12,3.704873,3.704873,5.774502,84.61473,84.61473,45.23421
191,Er10Ge6,281.477,193,8.422144,8.422144,6.331143,90.0,90.0,120.0004
192,Sn1Te1,211.81,225,4.562555,4.562555,4.562555,60.0,60.0,60.0
193,Cl1Rb1,160.319,225,4.738239,4.738239,4.738239,60.0,60.0,60.0
194,Hf1Ru3,315.957,221,3.9632069999999997,3.9632069999999997,3.9632069999999997,90.0,90.0,90.0
195,Ag36In16,219.075,215,10.04445,10.04445,10.04445,90.0,90.0,90.0
196,O6Ti4,641.518,167,5.530513,5.530513,5.530513,55.04518,55.04518,55.04518
197,C6Ir10,272.762,55,2.964398,6.862881,10.55778,90.0,90.0,90.0
198,Ce4Os8,179.671,194,5.32884,5.32884,9.037185,90.0,90.0,119.9998
199,Rh4S8,320.473,205,5.772221,5.772221,5.772221,90.0,90.0,90.0
200,C1Pt1,242.483,225,3.149449,3.149449,3.149449,60.0,60.0,60.0
201,C6N8,1816.03,220,4.71952,4.71952,4.71952,109.4712,109.4712,109.4712
202,Pt2U2,163.137,63,5.805395,5.805395,4.506045,90.0,90.0,140.2017
203,Ni4Si4,409.584,198,4.476387,4.476387,4.476387,90.0,90.0,90.0
204,Bi6Tb8,171.745,220,8.137904,8.137904,8.137904,109.4712,109.4712,109.4712
205,In1Ni1,284.873,221,3.121951,3.121951,3.121951,90.0,90.0,90.0
206,Hg1Sr1,156.923,221,4.002547,4.002547,4.002547,90.0,90.0,90.0
207,F3La1,330.355,139,4.336693,4.336693,4.336693,125.8739,125.8739,80.09542
208,S4Zn4,354.031,186,3.797271,3.797271,12.42427,90.0,90.0,120.0029
209,Ce4Os8,178.367,194,5.3252749999999995,5.325239,9.052342,90.0,90.0,120.0002
210,La3Sn1,178.106,221,5.106378,5.106378,5.106378,90.0,90.0,90.0
211,Br2Cu2,157.103,194,4.152283,4.152283,6.563197,90.0,90.0,119.986
212,Cu2Zr2,265.148,11,4.115683,3.204995,5.523714,73.96922,90.0,90.0
213,Si2Y2,450.436,63,5.698065,5.698065,3.841567,90.0,90.0,135.8661
214,B4Sc2,920.62,227,4.397404,4.397404,4.397404,60.0,60.0,60.0
215,Li84Si20,604.871,216,13.11763,13.11763,13.11763,60.0,60.0,60.0
216,Al1Tb1,262.252,221,3.616892,3.616892,3.616892,90.0,90.0,90.0
217,B1Hf1,381.606,225,3.420974,3.420974,3.420974,60.0,60.0,60.0
218,B8W4,648.735,194,3.028574,3.028821,14.14438,90.0,90.0,119.9973
219,S2Zn2,349.485,186,3.797951,3.7976609999999997,6.214603,90.0,90.0,120.0025
220,Er1In3,202.497,221,4.597592,4.597592,4.597592,90.0,90.0,90.0
221,Hf2W4,296.526,227,5.411381,5.411381,5.411381,60.0,60.0,60.0
222,C4Nb8,548.348,62,3.111747,5.008458,11.01704,90.0,90.0,90.0
223,As1Ho1,282.023,225,4.100659,4.100659,4.100659,60.0,60.0,60.0
224,Pt2W1,327.765,71,4.814937,4.814937,4.814937,146.2385,131.5246,60.37643
225,C1Ti1,910.38,225,3.067167,3.067167,3.067167,60.0,60.0,60.0
226,Ce1Te1,190.081,225,4.4261,4.4261,4.4261,60.0,60.0,60.0
227,Mg4Pt2,288.674,140,5.29055,5.29055,5.29055,106.6401,106.6401,115.2952
228,B6Os4,582.718,194,2.9340159999999997,2.934097,12.94133,90.0,90.0,119.9991
229,H1Rh1,462.025,225,2.857339,2.857339,2.857339,60.0,60.0,60.0
230,Fe8W4,301.264,194,4.931759,4.931759,7.971439,90.0,90.0,120.0016
231,Mo1Zn7,329.996,225,5.453801,5.453801,5.453801,60.0,60.0,60.0
232,Sn3Y1,155.544,221,4.775778,4.775778,4.775778,90.0,90.0,90.0
233,Au3Cu1,198.657,221,4.046961,4.046961,4.046961,90.0,90.0,90.0
234,Ir1V1,394.476,123,2.7904109999999998,2.7904109999999998,3.643464,90.0,90.0,90.0
235,C2O4,159.783,136,4.499401,4.499401,4.891331,90.0,90.0,90.0
236,Ag2Y1,213.016,139,5.385122,5.385122,5.385122,139.3656,139.3656,58.81786
237,Au4Yb4,143.828,62,4.658211,5.944863,7.49846,90.0,90.0,90.0
238,B2Ta2,557.913,63,4.693441,4.693441,3.182713,90.0,90.0,138.6353
239,C4Ir2,424.387,140,4.138198,4.138198,4.138198,113.6851,113.6851,101.3371
240,As2Sr4,234.455,139,9.136123,9.136123,9.136123,149.104,149.104,44.25824
241,Ho1Te1,170.433,225,4.335446,4.335446,4.335446,60.0,60.0,60.0
242,N4W3,390.122,221,4.242921,4.242921,4.242921,90.0,90.0,90.0
243,N3Tc3,619.131,221,4.059564,4.059564,4.059564,90.0,90.0,90.0
244,F3Sc1,502.73,221,4.123638,4.123638,4.123638,90.0,90.0,90.0
245,Dy1Ga3,277.042,221,4.261133,4.261133,4.261133,90.0,90.0,90.0
246,Ir2N2,318.355,194,3.079865,3.079755,5.168734,90.0,90.0,120.0012
247,Ca2O2,446.755,194,4.011789,4.011789,4.815233,90.00001,89.99999,119.9949
248,C1Y1,460.539,225,3.602413,3.602413,3.602413,60.0,60.0,60.0
249,In1P1,287.491,216,4.202793,4.202793,4.202793,60.0,60.0,60.0
250,Pr1Tl3,144.95,221,4.893625,4.893625,4.893625,90.0,90.0,90.0
251,Ag2Zr2,264.663,129,3.460573,3.460573,6.807974,90.0,90.0,90.0
252,Be26Lu2,886.316,226,7.13472,7.13472,7.13472,60.0,60.0,60.0
253,Hg1Te1,132.325,225,4.338635,4.338635,4.338635,60.0,60.0,60.0
254,Tl3Yb1,98.785,221,4.894453,4.894453,4.894453,90.0,90.0,90.0
255,C4Si4,1142.76,186,3.09339,3.093429,10.12577,90.0,90.0,119.9996
256,Sb6Zr6,315.911,63,5.604701,5.604701,14.20444,90.0,90.0,140.1491
257,Ho2Pt4,251.937,227,5.393537,5.393537,5.393537,60.0,60.0,60.0
258,Pt2Zr2,251.348,63,5.460078,5.460078,4.300571,90.0,90.0,143.2603
259,Ba1Hg1,135.489,221,4.206725,4.206725,4.206725,90.0,90.0,90.0
260,N3Re3,491.225,221,4.081606,4.081606,4.081606,90.0,90.0,90.0
261,Er4In2,185.972,194,5.340691,5.340488,6.674509,90.0,90.0,120.0013
262,Co1Si2,495.45,225,3.746849,3.746849,3.746849,60.0,60.0,60.0
263,V4Zr2,119.058,227,5.236793,5.236793,5.236793,60.0,60.0,60.0
264,Gd8S12,295.889,62,3.934235,10.57508,10.79051,90.0,90.0,90.0
265,C60K6,376.437,204,9.961069,9.961069,9.961069,109.4712,109.4712,109.4712
266,Cl2Mg1,188.83,115,3.8930949999999998,3.8930949999999998,5.697109,90.0,90.0,90.0
267,Er10Sb6,215.684,193,8.902206,8.902206,6.24487,90.0,90.0,119.9995
268,C2Si2,1138.34,186,3.091874,3.091812,5.07255,90.0,90.0,120.0007
269,Ni6Ta2,368.501,59,4.235938,4.5278089999999995,5.068855,90.0,90.0,90.0
270,Ca2Zn26,338.01,226,8.53679,8.53679,8.53679,60.0,60.0,60.0
271,Si4Ti4,606.554,62,3.68415,5.073184,6.63598,90.0,90.0,90.0
272,B2Pt2,263.069,194,3.7663510000000002,3.7663510000000002,3.582191,90.0,90.0,119.9801
273,O10Ti6,582.407,63,5.477869,5.477869,10.03159,90.0,90.0,137.6745
274,Cd24P16,233.786,206,10.78144,10.78144,10.78144,109.4712,109.4712,109.4712
275,O4W2,556.163,136,5.031734,5.031734,2.715668,90.0,90.0,90.0
276,Pt8V1,237.527,139,6.238223,6.238223,6.238223,95.65898,95.65898,143.3969
277,Ag1Cd1,143.623,221,3.387621,3.387621,3.387621,90.0,90.0,90.0
278,Ir6Si2,352.722,140,5.4508469999999996,5.4508469999999996,5.4508469999999996,122.629,122.629,85.50371
279,Ho2Si2,349.307,63,5.663868,5.663868,3.824213,90.0,90.0,135.8526
280,In16O24,406.181,206,8.869294,8.869294,8.869294,109.4712,109.4712,109.4712
281,Ir1Sc1,334.026,221,3.250885,3.250885,3.250885,90.0,90.0,90.0
282,Pd8Se2,244.429,114,5.297714,5.297714,5.718802,90.0,90.0,90.0
283,B2Cr1,956.36,191,3.018943,3.018943,3.194955,90.0,90.0,119.9984
284,H30Th8,315.58,220,8.052084,8.052084,8.052084,109.4712,109.4712,109.4712
285,B6Tb1,559.33,221,4.097974,4.097974,4.097974,90.0,90.0,90.0
286,Dy4Si4,354.741,62,3.8329969999999998,5.70755,7.906603,90.0,90.0,90.0
287,Rh3Ta1,433.782,221,3.888557,3.888557,3.888557,90.0,90.0,90.0
288,N12Rh4,816.216,204,5.729833,5.729833,5.729833,109.4712,109.4712,109.4712
289,Re8Sc4,292.873,194,5.330466,5.330466,8.653337,90.0,90.0,120.0
290,O2Th1,376.099,225,4.119833,4.119833,4.119833,60.0,60.0,60.0
291,Ag2Cl2,161.092,11,3.986879,3.955667,5.618173,89.51314,90.0,90.0
292,Dy12Rh4,134.718,62,6.247277,7.109112,9.521747,90.0,90.0,90.0
293,La8S12,287.783,62,4.185959,7.678386,16.04479,90.0,90.0,90.0
294,Er2Ge2,288.222,63,5.724962,5.724962,3.926942,90.0,90.0,136.5198
295,C21Si21,1143.97,156,3.094777,3.094777,53.13755,90.0,90.0,120.0
296,As12Co4,437.782,204,7.14352,7.14352,7.14352,109.4712,109.4712,109.4712
297,Rh1Sc1,381.526,221,3.256571,3.256571,3.256571,90.0,90.0,90.0
298,Ba6C60,496.331,204,9.783304,9.783304,9.783304,109.4712,109.4712,109.4712
299,B1Tc1,662.221,187,2.8852409999999997,2.8852409999999997,2.939808,90.0,90.0,120.0006
300,B2Sc1,1082.22,191,3.171909,3.171902,3.5861169999999998,90.0,90.0,120.0001
301,Hg4Pt1,169.478,229,5.499733,5.499733,5.499733,109.4712,109.4712,109.4712
302,Rb4Te2,112.688,194,6.142029,6.141644,8.127279,90.0,90.0,120.0021
303,C1Ir1,355.656,187,3.033247,3.033306,2.648716,90.0,90.0,119.9994
304,C2Ho1,319.292,139,4.023032,4.023032,4.023032,126.0935,126.0935,79.73457
305,In1P1,297.804,225,3.899922,3.899922,3.899922,60.0,60.0,60.0
306,Ru2Sb4,350.519,58,3.216354,5.999369,6.759127,90.0,90.0,90.0
307,Er16O24,372.899,206,9.133687,9.133687,9.133687,109.4712,109.4712,109.4712
308,Nb2Pt6,285.198,59,4.610893,4.910771,5.579248,90.0,90.0,90.0
309,Bi1Tb1,184.069,225,4.501778,4.501778,4.501778,60.0,60.0,60.0
310,Ga3Pt2,234.736,164,4.277138,4.277138,5.273686,90.0006,89.9994,120.0001
311,Th1Tl3,130.452,221,4.877119,4.877119,4.877119,90.0,90.0,90.0
312,Ir2Pb2,207.962,194,4.129151,4.129151,5.725435,90.0,90.0,120.0035
313,Ir2Sn8,218.503,68,6.727521,6.727521,6.445857,90.0,90.0,122.4955
314,Ca24N16,441.365,206,9.937398,9.937398,9.937398,109.4712,109.4712,109.4712
315,Te1Zn1,212.14,216,4.341314,4.341314,4.341314,60.0,60.0,60.0
